Date,vic,nsw
2020-03-01,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-07,,
2020-03-08,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-14,,
2020-03-15,,
2020-03-16,,
2020-03-17,,
2020-03-18,,
2020-03-19,122.0,
2020-03-20,139.0,
2020-03-21,178.0,
2020-03-22,226.0,
2020-03-23,258.0,
2020-03-24,298.0,
2020-03-25,338.0,
2020-03-26,368.0,
2020-03-27,399.0,
2020-03-28,491.0,
2020-03-29,572.0,
2020-03-30,569.0,
2020-03-31,622.0,
2020-04-01,621.0,
2020-04-02,608.0,
2020-04-03,602.0,
2020-04-04,580.0,
2020-04-05,554.0,
2020-04-06,528.0,
2020-04-07,494.0,
2020-04-08,464.0,1357.0
2020-04-09,410.0,1396.0
2020-04-10,302.0,1444.0
2020-04-11,265.0,1478.0
2020-04-12,239.0,1474.0
2020-04-13,192.0,1481.0
2020-04-14,159.0,1488.0
2020-04-15,148.0,1504.0
2020-04-16,134.0,1515.0
2020-04-17,129.0,1544.0
2020-04-18,133.0,1552.0
2020-04-19,125.0,1572.0
2020-04-20,118.0,1577.0
2020-04-21,119.0,1183.0
2020-04-22,78.0,1012.0
2020-04-23,70.0,936.0
2020-04-24,73.0,891.0
2020-04-25,68.0,765.0
2020-04-26,67.0,758.0
2020-04-27,52.0,741.0
2020-04-28,55.0,725.0
2020-04-29,49.0,708.0
2020-04-30,52.0,690.0
2020-05-01,53.0,689.0
2020-05-02,53.0,688.0
2020-05-03,66.0,685.0
2020-05-04,78.0,660.0
2020-05-05,94.0,640.0
2020-05-06,101.0,572.0
2020-05-07,114.0,535.0
2020-05-08,122.0,515.0
2020-05-09,123.0,501.0
2020-05-10,123.0,492.0
2020-05-11,116.0,490.0
2020-05-12,115.0,464.0
2020-05-13,111.0,441.0
2020-05-14,120.0,421.0
2020-05-15,118.0,419.0
2020-05-16,119.0,416.0
2020-05-17,126.0,416.0
2020-05-18,110.0,416.0
2020-05-19,101.0,415.0
2020-05-20,93.0,401.0
2020-05-21,88.0,385.0
2020-05-22,93.0,386.0
2020-05-23,92.0,383.0
2020-05-24,84.0,384.0
2020-05-25,64.0,384.0
2020-05-26,56.0,381.0
2020-05-27,57.0,376.0
2020-05-28,61.0,370.0
2020-05-29,62.0,376.0
2020-05-30,67.0,359.0
2020-05-31,70.0,360.0
2020-06-01,71.0,363.0
2020-06-02,79.0,367.0
2020-06-03,79.0,363.0
2020-06-04,73.0,356.0
2020-06-05,74.0,346.0
2020-06-06,71.0,341.0
2020-06-07,70.0,336.0
2020-06-08,71.0,338.0
2020-06-09,64.0,335.0
2020-06-10,54.0,332.0
2020-06-11,57.0,225.0
2020-06-12,49.0,71.0
2020-06-13,47.0,65.0
2020-06-14,40.0,70.0
2020-06-15,49.0,73.0
2020-06-16,51.0,76.0
2020-06-17,70.0,77.0
2020-06-18,81.0,79.0
2020-06-19,91.0,83.0
2020-06-20,110.0,84.0
2020-06-21,121.0,88.0
2020-06-22,125.0,90.0
2020-06-23,131.0,88.0
2020-06-24,141.0,98.0
2020-06-25,163.0,5.0
2020-06-26,183.0,6.0
2020-06-27,204.0,7.0
2020-06-28,231.0,7.0
2020-06-29,288.0,7.0
2020-06-30,321.0,7.0
2020-07-01,370.0,7.0
2020-07-02,415.0,6.0
2020-07-03,442.0,6.0
2020-07-04,509.0,6.0
2020-07-05,543.0,6.0
2020-07-06,645.0,6.0
2020-07-07,772.0,5.0
2020-07-08,860.0,5.0
2020-07-09,932.0,5.0
2020-07-10,1172.0,6.0
2020-07-11,1249.0,7.0
2020-07-12,1484.0,10.0
2020-07-13,1612.0,18.0
2020-07-14,1803.0,29.0
2020-07-15,1931.0,39.0
2020-07-16,2128.0,44.0
2020-07-17,2462.0,49.0
2020-07-18,2608.0,59.0
2020-07-19,2837.0,71.0
2020-07-20,2913.0,86.0
2020-07-21,3078.0,96.0
