Age group,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-80,Total
0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20605E-92,1.20585E-05,3.1644E-125,1.20585E-05
5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34956E-05,7.64591E-79,2.38392E-65,1.34956E-05
10-14,0,0,0.195100461,0.033133433,0.035228569,0.009879254,0.080038432,0.02329168,0.082470999,0.048814728,0.019440149,4.50012E-08,3.0487E-17,2.7978E-53,4.95801E-06,3.7772E-102,0.527402709
15-19,0,0,0.059055456,0.793820183,0.633399976,0.353059544,0.326269302,0.309693158,0.348037566,0.279576753,0.165121674,0.073643411,0.009628661,8.347E-06,2.85973E-06,1.88926E-31,3.351316891
20-24,0,0,0.076960243,0.426906133,0.822823338,0.76430641,0.632346797,0.711430778,0.541859455,0.442184148,0.339563412,0.146630591,0.026404802,9.86113E-06,1.32609E-05,3.74318E-06,4.93144297
25-29,0,0,0.095929375,0.363687271,0.75895301,1.238728513,0.878676904,0.875998828,0.816384119,0.583197183,0.482141882,0.209359407,0.034135696,1.60675E-05,1.01183E-05,3.01443E-06,6.33722139
30-34,0,0,0.107746179,0.194828827,0.521304213,0.83306279,1.080698958,0.967770521,0.87490104,0.727807771,0.441527219,0.242127187,0.031684801,1.63796E-05,4.10101E-06,3.49479E-06,6.02348348
35-39,0,0,0.067658403,0.396807971,0.441567762,0.798984011,0.848118297,1.196701153,1.174439046,0.828103531,0.606419615,0.226789224,0.022929327,1.22989E-05,9.13513E-06,6.02097E-06,6.608545796
40-44,0,0,0.077126363,0.250001411,0.524301557,0.797150112,0.932040602,1.018500206,1.258754554,1.030537228,0.744935859,0.242905726,0.033916652,1.43626E-05,1.02722E-05,1.29504E-05,6.910207855
45-49,0,0,0.104849764,0.31840713,0.364097139,0.610573255,0.77603023,0.871196035,0.909211233,0.904154988,0.585741071,0.280129182,0.027525581,1.6281E-05,1.08244E-05,6.09172E-06,5.751948803
50-54,0,0,0.111883756,0.235044397,0.299096497,0.607105697,0.701521076,0.745943444,1.018957275,1.00144897,0.765183391,0.348900391,0.032465598,1.1808E-05,1.18227E-05,1.01613E-05,5.867584282
55-59,0,0,0.166898223,0.152913343,0.195103457,0.347823417,0.479397269,0.461563341,0.595240992,0.478437192,0.44611122,0.262362539,0.029649557,1.34978E-05,6.5874E-06,6.65717E-06,3.615527292
60-64,0,0,0.032516152,0.011966525,0.044754335,0.077314326,0.084426481,0.101883406,0.111130083,0.110565865,0.084963342,0.061640106,0.005869465,2.0302E-05,8.26102E-06,1.48398E-05,0.727073488
65-69,7.603E-06,3.36327E-06,7.64855E-06,2.27622E-05,3.14933E-05,7.89308E-05,7.24213E-05,2.91748E-05,6.61874E-05,5.95693E-05,7.70713E-05,5.30688E-05,4.6603E-05,1.41633E-05,2.49066E-05,1.19109E-05,0.000606878
70-74,5.78864E-55,7.88785E-42,2.5483E-06,2.60648E-05,1.68036E-05,2.12447E-05,3.57268E-05,4.02377E-05,3.56402E-05,3.09769E-05,2.13053E-05,4.49709E-05,2.61368E-05,1.68266E-05,1.66514E-05,2.60823E-05,0.000361216
75-80,2.3572E-141,9.06872E-97,1.18637E-89,9.39934E-22,4.66E-05,4.69664E-05,4.69316E-05,8.42184E-05,2.77788E-05,1.03294E-05,1.06804E-05,7.26342E-75,1.10074E-65,1.02832E-05,5.16903E-49,8.28041E-43,0.000283788
