location,date,new_diagnoses,new_deaths,new_tests,new_tests_qld
NSW,2020-03-01,1,0,0,125
NSW,2020-03-02,4,0,0,523
NSW,2020-03-03,6,1,0,572
NSW,2020-03-04,7,0,0,661
NSW,2020-03-05,3,0,0,759
NSW,2020-03-06,3,0,0,802
NSW,2020-03-07,8,0,0,380
NSW,2020-03-08,4,1,420,472
NSW,2020-03-09,7,0,1155,2723
NSW,2020-03-10,14,0,1794,2486
NSW,2020-03-11,4,0,56,2256
NSW,2020-03-12,13,0,4635,3071
NSW,2020-03-13,14,0,1829,4033
NSW,2020-03-14,20,1,3811,1531
NSW,2020-03-15,22,0,2071,1028
NSW,2020-03-16,37,0,4397,4322
NSW,2020-03-17,39,1,3280,2990
NSW,2020-03-18,57,0,5556,2200
NSW,2020-03-19,40,0,3289,1978
NSW,2020-03-20,46,1,1562,1893
NSW,2020-03-21,83,0,6241,1111
NSW,2020-03-22,97,0,5771,945
NSW,2020-03-23,136,0,4278,2304
NSW,2020-03-24,149,1,4907,2175
NSW,2020-03-25,211,0,6329,2225
NSW,2020-03-26,190,0,5829,2945
NSW,2020-03-27,186,0,3683,2617
NSW,2020-03-28,212,1,8835,1426
NSW,2020-03-29,174,0,6575,900
NSW,2020-03-30,127,0,3347,2389
NSW,2020-03-31,114,0,3505,1975
NSW,2020-04-01,150,2,5592,1750
NSW,2020-04-02,116,0,4994,1470
NSW,2020-04-03,91,2,3918,1507
NSW,2020-04-04,104,0,3178,752
NSW,2020-04-05,87,4,3800,507
NSW,2020-04-06,57,3,2605,1661
NSW,2020-04-07,49,2,2108,2815
NSW,2020-04-08,48,0,2945,2880
NSW,2020-04-09,39,0,3906,2632
NSW,2020-04-10,49,1,4444,792
NSW,2020-04-11,35,1,3506,982
NSW,2020-04-12,0,1,830,760
NSW,2020-04-13,9,2,2603,884
NSW,2020-04-14,7,0,1429,2621
NSW,2020-04-15,205,0,1305,2449
NSW,2020-04-16,11,0,3200,2618
NSW,2020-04-17,29,0,4988,3054
NSW,2020-04-18,10,1,5152,1429
NSW,2020-04-19,21,1,4683,995
NSW,2020-04-20,6,1,3489,2658
NSW,2020-04-21,6,1,2502,2293
NSW,2020-04-22,2,2,4291,2512
NSW,2020-04-23,5,1,5645,2068
NSW,2020-04-24,6,1,7352,2032
NSW,2020-04-25,12,1,4840,1098
NSW,2020-04-26,8,0,5459,1044
NSW,2020-04-27,2,1,4418,3274
NSW,2020-04-28,5,5,4112,3255
NSW,2020-04-29,7,1,5414,3006
NSW,2020-04-30,0,0,7387,2819
NSW,2020-05-01,9,1,7038,2530
NSW,2020-05-02,6,0,8810,1288
NSW,2020-05-03,4,1,7234,1099
NSW,2020-05-04,0,1,5571,1446
NSW,2020-05-05,2,1,5296,5106
NSW,2020-05-06,7,0,7256,4617
NSW,2020-05-07,2,0,10545,3813
NSW,2020-05-08,3,0,9461,3319
NSW,2020-05-09,4,0,13692,1369
NSW,2020-05-10,2,0,9515,819
NSW,2020-05-11,0,0,5258,3746
NSW,2020-05-12,0,0,6048,3359
NSW,2020-05-13,6,1,8117,3612
NSW,2020-05-14,4,0,9747,3124
NSW,2020-05-15,8,0,12212,3391
