AVERAGE NUMBER OF INBOUND PASSENGERS TO ALL QUEENSLAND AIRPORTS PER DAY,,,,
,,,,
dates,passengers,,phases,passengers
2019-01-01,276,,precovid,239
2019-02-01,236,,lockdown,131
2019-03-01,203,,latest,13
2019-04-01,233,,,
2019-05-01,211,,,
2019-06-01,222,,,
2019-07-01,271,,,
2019-08-01,237,,,
2019-09-01,233,,,
2019-10-01,251,,,
2019-11-01,236,,,
2019-12-01,255,,,
2020-01-01,297,,,
2020-02-01,228,,,
2020-03-01,131,,,
2020-04-01,7,,,
2020-05-01,7,,,
2020-06-01,14,,,
2020-07-01,13,,,
